nama_makanan,kalori,protein,lemak,karbo,harga,harga_rp;
pan dulce bread,231.0,5.9,7.3,35.5,,41500;
rice bran bread toasted,66.0,2.4,1.3,11.8,,20000;
pita bread whole wheat,74.0,2.7,0.7,15.4,,43500;
wheat germ bread toasted,73.0,2.7,0.8,13.6,,19500;
pumpernickel bread,65.0,2.3,0.8,12.4,,5500;
frybread,502.0,10.2,18.6,73.4,,9500;
white bread toasted,83.0,2.5,1.1,15.4,,9000;
piki bread,109.0,2.5,2.0,20.2,,20000;
wheat bread toasted,75.0,3.1,1.0,13.4,,9500;
pita bread,165.0,5.5,0.7,33.4,,7000;
potato bread,85.0,4.0,1.0,15.1,,26500;
egg bread,115.0,3.8,2.4,19.1,,9500;
oatmeal bread toasted,73.0,2.3,1.2,13.2,,38500;
cheese bread,196.0,5.0,10.0,21.5,,54000;
pumpernickel bread toasted,80.0,2.8,1.0,15.1,,37000;
raisin bread,88.0,2.5,1.4,16.7,,19000;
pumpernickel roll,77.0,3.0,0.8,14.8,,40500;
cinnamon raisin bagel,71.0,2.5,0.4,14.4,,13500;
english muffin,127.0,5.0,1.1,25.5,,42500;
rye dinner roll,123.0,4.4,1.5,22.8,,43000;
english muffin whole wheat,134.0,5.8,1.4,26.7,,36000;
dinner roll whole wheat,74.0,2.4,1.3,14.3,,21000;
dinner roll,76.0,2.4,1.8,12.9,,36000;
hotdog roll,117.0,4.1,1.6,21.1,,31500;
bagel,245.0,10.0,1.5,47.9,,17500;
oat bran bagel,176.0,7.4,0.8,36.8,,11000;
pain au chocolat de la boulangerie,235.0,0.0,12.0,0.0,,11500;
egg bagel,72.0,2.8,0.5,13.8,,33000;
english muffin toasted,140.0,5.4,1.1,27.4,,28000;
english muffin whole wheat toasted,135.0,5.9,1.4,26.9,,33000;
biscuit,357.0,7.1,16.5,45.0,,32000;
french roll,105.0,3.3,1.6,19.1,,35500;
oat bran dinner roll,78.0,3.1,1.5,13.3,,8500;
pecan shortbread cookies,76.0,0.7,4.6,8.2,,11500;
oatmeal cookies,113.0,1.6,4.5,17.2,,9000;
chocolate wafers,485.0,7.4,15.9,81.1,,31500;
vanilla wafers low fat,353.0,4.0,12.2,58.9,,27000;
chocolate chip cookies mcdonalds,136.0,1.6,6.4,18.7,,12000;
gingersnap cookies,29.0,0.4,0.7,5.4,,21500;
biscotti abbracci mulino bianco,54.0,0.4,2.6,0.8,,17500;
chocolate chip cookie,63.0,0.5,2.8,9.3,,17500;
brownie,243.0,2.9,9.8,38.3,,40000;
shortbread cookies,40.0,0.5,1.9,5.2,,34500;
oatmeal cookies with raisins,65.0,1.0,2.4,10.3,,14000;
peanut butter sandwich cookies,67.0,1.2,3.0,9.2,,59500;
sugar cookies,72.0,0.8,3.2,10.2,,23500;
chocolate covered graham crackers,68.0,0.8,3.2,9.3,,35500;
raisin cookies,60.0,0.6,2.0,10.2,,21500;
vanilla wafers,28.0,0.3,1.2,4.3,,10000;
graham crackers,355.0,5.8,8.5,64.5,,34000;
peanut butter cookies,95.0,1.8,4.8,11.8,,62500;
vanilla sandwich cookie,72.0,0.7,3.0,10.8,,8500;
sugar wafers with creme filling,51.0,0.4,2.3,7.1,,40500;
cheese puffs,197.0,2.1,12.8,18.6,,27000;
saltine crackers,13.0,0.3,0.3,2.2,,20500;
trail mix,139.0,4.1,8.8,13.5,,16000;
corn cones,144.0,1.6,7.6,17.8,,31500;
chocolate pretzels,50.0,0.8,1.8,7.8,,37000;
french toast sticks,73.0,1.3,3.8,8.9,,36500;
crackers,82.0,1.1,4.2,9.8,,19000;
sesame sticks,54.0,1.1,3.7,4.7,,31500;
cheese crackers,34.0,0.8,1.6,4.2,,34500;
oriental rice cracker mix,143.0,4.9,7.2,14.6,,30000;
breadsticks,103.0,3.0,2.4,17.1,,5000;
milk crackers,50.0,0.8,1.7,7.7,,30500;
matzo crackers whole wheat,98.0,3.7,0.4,22.1,,22500;
matzo crackers with egg,109.0,3.4,0.6,22.0,,35000;
granola bites,23.0,0.4,0.9,3.3,,23500;
crackers whole wheat,120.0,3.0,4.0,19.5,,32500;
tropical trail mix,619.0,8.8,23.9,91.8,,41500;
soft pretzels,389.0,9.4,3.6,79.8,,37000;
corn tostada shell,58.0,0.8,2.9,7.9,,15000;
matzo crackers,111.0,2.8,0.4,23.4,,17500;
sesame crunch,9.0,0.2,0.6,0.9,,24500;
trail mix with chocolate chips,707.0,20.7,46.6,65.6,,19500;
cracker meal,440.0,10.7,2.0,93.0,,9000;
puffed rice,153.0,2.4,0.2,34.1,,43000;
filinchen gutena,19.0,0.4,0.2,0.5,,40500;
melba toast crackers,117.0,3.6,1.0,23.0,,9000;
matzo crackers with egg onion,109.0,2.8,1.1,21.6,,25500;
cornnuts,126.0,2.4,4.4,20.3,,8500;
bagel chips,789.0,21.6,26.5,116.1,,8500;
pretzels,115.0,3.0,0.9,24.1,,43500;
potato raw,164.0,4.3,0.2,37.2,,36000;
gatto di patate home made,202.0,0.0,9.4,4.0,,38000;
baked potato,161.0,4.3,0.2,36.6,,40000;
potato sticks,188.0,2.4,12.4,19.2,,15500;
potato cooked,52.0,1.1,0.006,12.1,,8500;
vivaldi potatoes sainsburys,23.0,0.0,0.1,0.0,,38500;
potato ham chowder soup,192.0,6.5,12.5,13.4,,10000;
russet potato raw,292.0,7.9,0.3,66.7,,17000;
russet potato baked,290.0,7.9,0.4,64.1,,9500;
french fries,13.0,0.2,0.4,2.2,,44000;
potato scalloped,216.0,7.0,9.0,26.4,,9500;
cottage fries,11.0,0.2,0.4,1.9,,20500;
mashed potatoes,215.0,4.0,6.8,35.5,,31500;
mashed potato with milk and butter,237.0,3.9,8.9,35.3,,44000;
red potato raw,149.0,4.0,0.3,33.9,,43000;
potato pancake,59.0,1.3,3.2,6.1,,44000;
potato puffs,243.0,2.6,11.0,35.5,,7500;
red potato baked,74.0,2.0,0.1,16.7,,10500;
potatoes canned,132.0,3.6,0.3,29.7,,32500;
potato skin raw,22.0,1.0,0.099,4.7,,43500;
shoestring french fries,4.0,0.099,0.1,0.7,,42000;
hash brown potato,144.0,1.4,9.0,15.3,,39500;
baked chips lays,130.0,0.0,2.0,0.0,,25500;
corn chips,162.0,1.9,10.0,17.2,,22000;
nacho cheese tortilla chips low fat,90.0,2.4,1.0,18.5,,54000;
corn chips barbecue,1036.0,13.9,64.7,111.3,,20500;
corn chips unsalted,490.0,5.8,29.4,50.5,,22500;
potato chips fat free,860.0,21.9,1.4,190.1,,31000;
sweet chilli kettle baked chips,99.0,2.0,2.2,2.1,,13500;
taro chips,11.0,0.049,0.6,1.6,,24500;
potato chips reduced fat,801.0,12.1,35.4,113.7,,35000;
onion snacks,150.0,2.3,6.8,19.5,,25500;
potato chips cheese,843.0,14.5,46.2,98.1,,25500;
yuca cassava chips,9.0,0.054,0.4,1.2,,35000;
tortilla chips low fat,117.0,3.1,1.6,22.6,,42000;
ranch flavor tortilla chips,992.0,14.2,48.8,124.2,,11500;
potato chips,161.0,2.1,10.4,15.9,,10000;
tortilla chips,142.0,2.1,6.2,20.3,,40000;
sweet potato chips,149.0,0.8,9.1,15.9,,19000;
nacho cheese tortilla chips,156.0,2.2,8.2,18.2,,70500;
vegetable chips,134.0,1.5,6.6,17.1,,13500;
taco flavor tortilla chips,1090.0,17.9,54.9,143.2,,28000;
potato chips barbecue,970.0,15.2,64.2,104.5,,9500;
pita chips,137.0,3.5,4.6,20.5,,21000;
potato chips sour cream and onion,1051.0,16.0,67.1,102.0,,29000;
adobo fresco,780.0,5.8,60.2,53.6,,23500;
chili pepper sauce red,3.0,0.1,0.089,0.6,,15500;
creamy ranch sauce mcdonalds,132.0,0.3,14.7,1.0,,33500;
catsup,19.0,0.2,0.066,4.5,,40500;
chili pepper sauce green,3.0,0.1,0.032,0.8,,25000;
red wine vinegar,3.0,0.055,0.0,0.011,,39500;
fish sauce,6.0,0.9,0.013,0.7,,5500;
coleslaw dressing reduced fat,56.0,0.0,3.4,6.8,,41500;
sour dressing,21.0,0.4,2.0,0.6,,24500;
guava sauce cooked,86.0,0.8,0.3,22.6,,12000;
pizza sauce,136.0,5.5,2.9,21.8,,14000;
sweetn sour sauce mcdonalds,48.0,0.2,0.3,11.0,,22500;
nance syrup,4.0,0.028,0.002,0.8,,12500;
french dressing reduced fat,37.0,0.072,2.2,4.7,,12000;
peppercorn dressing,76.0,0.2,8.2,0.5,,41500;
sorghum syrup,61.0,0.0,0.0,15.7,,15000;
ranch dressing fat free,17.0,0.039,0.3,3.7,,23000;
caesar dressing low calorie,17.0,0.028,0.7,2.8,,23500;
sweet sour dressing,2.0,0.082,0.0,0.6,,44500;
mayonnaise imitation fat free,13.0,0.043,0.4,2.5,,19000;
sofrito,488.0,26.4,37.5,11.2,,27500;
turkey gravy instant,27.0,0.8,1.0,3.9,,18500;
teriyaki sauce,16.0,1.1,0.015,2.8,,22500;
tomato sauce,59.0,2.9,0.7,13.0,,38000;
barbecue sauce kraft,28.0,0.1,0.053,6.5,,37000;
cranberry sauce sweetened,418.0,0.6,0.4,107.8,,21500;
coleslaw dressing,62.0,0.1,5.3,3.8,,8500;
onion gravy dry,77.0,2.2,0.7,16.2,,11000;
corn syrup light,62.0,0.0,0.09,16.9,,33000;
bacon tomato dressing,49.0,0.3,5.3,0.3,,23000;
pancake syrup,53.0,0.0,0.075,13.9,,8000;
balsamic vinegar,14.0,0.041,0.0,2.7,,5000;
ranch dressing reduced fat,29.0,0.2,1.9,3.2,,27000;
barbecue sauce mcdonalds,46.0,0.4,0.3,10.3,,13500;
vinegar oil dressing,72.0,0.0,8.0,0.4,,48000;
poppyseed dressing,66.0,0.2,5.5,4.0,,34000;
honey mustard dressing,70.0,0.1,6.1,3.5,,41000;
french dressing fat free,21.0,0.01,0.024,5.1,,33000;
vinegar,3.0,0.0,0.0,0.089,,42000;
spray dressing,13.0,0.07,0.9,1.3,,5500;
honey mustard dressing fat free,25.0,0.2,0.2,5.8,,12500;
mushroom gravy,119.0,3.0,6.4,13.0,,10000;
white sauce,368.0,9.6,26.6,22.9,,15000;
marinara pasta sauce,129.0,3.7,3.9,19.9,,41000;
tomato sauce with mushrooms,86.0,3.6,0.3,20.7,,7500;
pork gravy powder,25.0,0.6,0.6,4.3,,29000;
beef gravy,123.0,8.7,5.5,11.2,,68000;
green goddess dressing,64.0,0.3,6.5,1.1,,33000;
salsa con queso,358.0,7.9,23.8,27.9,,13500;
cocktail sauce,19.0,0.2,0.2,4.2,,7500;
worcestershire sauce,13.0,0.0,0.0,3.3,,25000;
barbecue sauce,29.0,0.1,0.1,6.9,,29000;
tomato sauce with onions,103.0,3.8,0.5,24.4,,7500;
brown gravy dry,22.0,0.6,0.6,3.6,,28500;
blue cheese dressing light,14.0,0.3,0.4,2.1,,50000;
spanish tomato sauce,81.0,3.5,0.7,17.7,,11500;
oyster sauce,9.0,0.2,0.066,2.0,,28000;
cheese sauce,30.0,1.5,2.2,0.8,,83500;
hoisin sauce,35.0,0.5,0.5,7.1,,15000;
pickle relish,20.0,0.097,0.061,5.3,,20500;
tomato sauce with herbs cheese,144.0,5.2,4.7,25.0,,42500;
french dressing,73.0,0.1,7.2,2.5,,32000;
mayonnaise hellmanns,15.0,0.0,1.7,0.087,,6500;
canadian maple syrup,76.0,0.0,0.0,19.1,,17000;
maple syrup,52.0,0.09,0.047,13.4,,27000;
barbecue sauce bulls eye,27.0,0.1,0.1,6.4,,32000;
ranch dressing,65.0,0.2,6.7,0.9,,21500;
tomato ketchup mp,15.0,0.0,0.0,0.2,,22500;
mayonnaise light,36.0,0.032,3.3,1.4,,15500;
mayonnaise dressing,103.0,0.0,11.7,0.066,,12000;
malt syrup,67.0,1.3,0.0,15.0,,30000;
gravy dry,86.0,3.3,2.0,14.5,,7500;
cranberry orange relish,490.0,0.8,0.3,127.1,,36000;
caesar dressing,80.0,0.3,8.5,0.5,,19500;
italian dressing,35.0,0.032,3.1,1.8,,18000;
brown gravy instant,25.0,0.6,0.8,4.0,,35000;
roquefort cheese dressing,15.0,0.8,1.1,0.4,,63000;
blue cheese dressing,71.0,0.2,7.7,0.7,,49500;
duck sauce,80.0,0.1,0.063,19.7,,6500;
au jus,38.0,2.8,0.5,5.9,,17500;
corn syrup dark,57.0,0.0,0.0,15.5,,31000;
buttermilk dressing light,30.0,0.2,1.9,3.2,,60000;
cider vinegar,3.0,0.0,0.0,0.1,,9500;
tartar sauce,32.0,0.2,2.5,2.0,,23500;
pepper hot sauce,1.0,0.024,0.018,0.031,,28000;
tomato chili sauce,6.0,0.2,0.095,1.2,,38500;
turkey gravy dry,26.0,0.7,0.5,4.6,,31000;
salsa sauce,5.0,0.3,0.039,1.2,,40000;
steak sauce,16.0,0.2,0.004,3.7,,43500;
molasses,58.0,0.0,0.068,14.9,,12500;
italian dressing fat free,7.0,0.1,0.1,1.2,,22000;
plum sauce,35.0,0.2,0.2,8.1,,16500;
chow mein stir fry master foods,26.0,0.0,0.2,0.0,,43000;
beef gravy instant,25.0,0.7,0.6,4.1,,40000;
horseradish,2.0,0.003,0.085,0.6,,12000;
grenadine,54.0,0.0,0.0,13.4,,44000;
tabasco sauce,1.0,0.045,0.002,0.006,,33500;
sweet sour sauce,26.0,0.02,0.084,6.7,,27500;
salsa verde,6.0,0.2,0.1,1.0,,25500;
miso,40.0,2.6,1.2,5.1,,33500;
sprouted soybean cooked,76.0,8.0,4.2,6.1,,44500;
soy flour roasted,375.0,29.6,18.6,28.6,,38500;
soy flour low fat,330.0,40.0,7.8,30.7,,12500;
green soybean cooked,127.0,11.1,5.8,9.9,,30000;
azumaya tofu vitasoy,316.0,32.8,16.6,9.1,,43000;
soy proteins isolate,96.0,22.8,1.0,2.1,,17500;
tofu yogurt,246.0,9.2,4.7,41.8,,21500;
bacon meatless,446.0,15.4,42.5,9.1,,8000;
meatless chicken fried,304.0,27.7,16.6,11.1,,33500;
soymilk,109.0,7.1,4.8,8.4,,5000;
soy vermicelli,463.0,0.1,0.1,115.2,,39000;
tofu fried,35.0,2.4,2.6,1.2,,40500;
tempeh,320.0,30.8,17.9,15.6,,18000;
koyadofu,81.0,8.9,5.2,1.7,,29000;
meatless meatloaf,110.0,11.8,5.0,4.5,,33500;
soya vanille joghurt alpro,21.0,0.3,0.6,1.0,,9500;
soybean curd cheese,340.0,28.1,18.2,15.5,,62000;
soy sauce,8.0,1.3,0.054,0.8,,13000;
soybean dry roasted,419.0,36.8,20.1,30.4,,24500;
soybean oil,120.0,0.0,13.6,0.0,,73500;
meatless chicken,376.0,39.7,21.4,6.1,,32000;
soybean cooked,296.0,28.6,15.4,17.1,,26500;
soymilk nonfat,68.0,6.0,0.046,10.1,,31500;
soy flour,23.0,1.8,1.1,1.8,,24500;
soybean lecithin oil,104.0,0.0,13.6,0.0,,64500;
tofu raw,188.0,20.0,11.9,4.7,,17500;
soy chips,109.0,7.5,2.1,15.0,,32500;
green soybean raw,376.0,33.2,17.4,28.3,,30000;
soy proteins concentrate,93.0,18.0,0.1,7.2,,16500;
soybean margarine,34.0,0.052,3.8,0.043,,42500;
chocolate soymilk nonfat,107.0,6.0,0.046,20.7,,24500;
okara,93.0,3.9,2.1,15.3,,31500;
meatless meatballs,284.0,30.2,13.0,11.5,,41000;
vanilla soymilk,131.0,7.9,4.3,15.3,,5000;
soy meal raw,414.0,54.8,2.9,49.0,,25000;
soymilk low fat,104.0,4.0,1.5,17.5,,24000;
sprouted soybean raw,85.0,9.2,4.7,6.7,,19000;
soybean raw,830.0,67.9,37.1,56.1,,33000;
tempeh cooked,55.0,5.1,3.2,2.6,,43000;
vanilla soymilk light,83.0,6.4,2.1,9.4,,45000;
chocolate soymilk,153.0,5.5,3.7,24.2,,26000;
soy oil,120.0,0.0,13.6,0.0,,79500;
natto,169.0,14.2,8.8,11.5,,34000;
chrysanthemum raw,12.0,1.7,0.3,1.5,,19000;
gourd cooked,100.0,1.2,0.6,25.5,,38500;
cauliflower raw,3.0,0.2,0.081,0.6,,36000;
red cabbage raw,53.0,2.4,0.3,12.5,,16000;
broccoli raab raw,9.0,1.3,0.2,1.1,,10500;
napa cabbage cooked,13.0,1.2,0.2,2.4,,23500;
kelp,2.0,0.07,0.067,0.5,,39000;
shallots raw,18.0,0.6,0.061,4.2,,27000;
bamboo shoots raw,49.0,4.7,0.5,9.4,,11000;
jute cooked,32.0,3.2,0.2,6.3,,20500;
red lettuce,4.0,0.4,0.08,0.6,,25500;
broccoli cooked,98.0,6.7,1.1,20.1,,19500;
romanesco raw,20.0,1.9,0.2,3.9,,18000;
eggplant raw,115.0,4.5,0.8,26.9,,14500;
leeks raw,54.0,1.3,0.3,12.6,,6500;
lemongrass citronella,5.0,0.038,0.076,1.2,,8000;
pumpkin cooked,49.0,1.8,0.2,12.0,,21000;
celery cooked,7.0,0.3,0.098,1.5,,36000;
serrano pepper,2.0,0.1,0.075,0.4,,10000;
nopales raw,14.0,1.1,0.063,2.9,,35000;
sweet potato leaves cooked,22.0,1.4,0.2,4.7,,32000;
eggplant cooked,33.0,0.8,0.2,8.1,,42500;
asparagus cooked,3.0,0.4,0.074,0.6,,17500;
rutabaga cooked,72.0,2.2,0.4,16.4,,30000;
parsnips raw,128.0,2.0,0.5,30.6,,37500;
sour pickles,17.0,0.5,0.3,3.5,,31000;
turnip greens cooked,29.0,1.6,0.3,6.3,,21000;
jerusalem artichokes,110.0,3.0,0.047,26.2,,14500;
collard raw,12.0,1.1,0.2,2.0,,5500;
chrysanthemum cooked,20.0,1.6,0.036,4.3,,12000;
oriental radish dried,314.0,9.2,0.8,73.5,,33000;
tomatillos,42.0,1.3,1.3,7.7,,19500;
taro shoots raw,9.0,0.8,0.069,2.0,,16500;
acorn squash raw,172.0,3.4,0.4,44.9,,39000;
leeks dried,10.0,0.5,0.026,2.4,,35500;
cabbage raw,70.0,3.6,0.3,16.2,,8500;
sweet red peppers cooked,19.0,0.7,0.1,4.5,,41500;
sweet red peppers raw,46.0,1.5,0.4,9.0,,21500;
cucumber peeled,16.0,0.8,0.2,2.9,,13000;
purslane raw,9.0,0.9,0.2,1.5,,35000;
peas onions cooked,81.0,4.6,0.4,15.5,,13500;
tomato cooked,22.0,1.2,0.1,4.9,,35500;
taro shoots cooked,20.0,1.0,0.1,4.5,,40000;
scots kale raw,28.0,1.9,0.4,5.6,,41500;
artichoke raw,60.0,4.2,0.2,13.5,,44000;
navy bean sprouts raw,70.0,6.4,0.7,13.6,,26000;
sweet pickles,146.0,0.9,0.7,33.8,,34000;
oriental radish cooked,25.0,1.0,0.4,5.0,,38000;
sweet potato leaves raw,15.0,0.9,0.2,3.1,,33000;
irishmoss,2.0,0.037,0.049,0.6,,41000;
drumstick leaves cooked,25.0,2.2,0.4,4.7,,34000;
winter squash raw,39.0,1.1,0.2,10.0,,15500;
pumpkin raw,30.0,1.2,0.1,7.5,,36000;
chicory greens,7.0,0.5,0.096,1.4,,34500;
spinach cooked,41.0,5.3,0.5,6.8,,22000;
radish pickled,42.0,1.7,0.5,7.8,,21000;
sweet onion,106.0,2.6,0.3,25.0,,23000;
salsify cooked,92.0,3.7,0.2,20.7,,39000;
radish seeds sprouted,16.0,1.4,1.0,1.4,,37000;
turnips raw,51.0,1.6,0.2,11.8,,20500;
burdock root raw,85.0,1.8,0.2,20.5,,23000;
red cabbage cooked,49.0,2.6,0.2,11.8,,34000;
jute raw,10.0,1.3,0.046,1.6,,10000;
hot chile pepper dried,2.0,0.054,0.054,0.3,,23500;
salsify raw,109.0,4.4,0.3,24.7,,20500;
crookneck squash raw,24.0,1.3,0.3,4.9,,23000;
